sample,brain_region,condition_code,n_cells,n_expr_cells,spearman_within,p_within,spearman_within_depth_adj
JHA710A1,Hypothalamus,A1,3491,1844,0.198376453228153,8.079294592080336e-18,0.28952781013716056
JHA710A2,Hypothalamus,A2,2706,343,-0.8251658944309701,1.373792763000659e-86,-0.8072943004451697
JHA710A3,Hypothalamus,A3,3916,2670,0.23523127319019138,6.854273957756401e-35,0.020853334215125884
VAL173A1,Brainstem,A1,3731,218,-0.8243922317610967,2.683068655361664e-55,-0.460040911212707
VAL173A2,Brainstem,A2,3519,129,-0.828267101435576,9.598424709186334e-34,-0.807587219906899
VAL173A3,Brainstem,A3,3713,233,-0.7999897111517097,3.7219442215828115e-53,-0.7745735589850304
VAL630A1,Cortex,A1,2575,331,-0.17212205269429018,0.0016715171513612195,-0.07257874779826085
VAL630A2,Cortex,A2,3175,441,-0.34050012079251,1.9671560286326926e-13,-0.16646485447401496
VAL630A3,Cortex,A3,2745,704,-0.2319819314898034,4.681855729811652e-10,-0.08291557132844107
