accession,release_date,pmid,sample_title
GSE245537,2023/10/21,40536979,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, with sleep deprivation [MW11]"
GSE312840,2026/05/01,42174655,VEH
GSE312840,2026/05/01,42174655,LEM
GSE301350,2025/08/05,NA,NX_mm10_vM23
GSE301350,2025/08/05,NA,CIH_mm10_vM23
GSE264175,2025/05/27,40739350,Flu_metastasis
GSE283586,2025/12/05,NA,"Brain, snRNAseq"
GSE160581,2021/05/01,NA,OM2
GSE160581,2021/05/01,NA,YM2
GSE160581,2021/05/01,NA,OF2
GSE160581,2021/05/01,NA,YF2
GSE188646,2022/05/20,36285248,Young_2
GSE188646,2022/05/20,36285248,Young_1
GSE188646,2022/05/20,36285248,Aged_3
GSE188646,2022/05/20,36285248,Aged_2
GSE188646,2022/05/20,36285248,Young_4
GSE188646,2022/05/20,36285248,Young_3
GSE188646,2022/05/20,36285248,Aged_4
GSE188646,2022/05/20,36285248,Aged_1
GSE200642,2022/08/29,36180478,25dpi_Spatial
GSE200642,2022/08/29,36180478,45dpi_Rep1_scRNA
GSE200642,2022/08/29,36180478,45dpi_Rep2_scRNA
GSE200642,2022/08/29,36180478,25dpi_Rep1_scRNA
GSE200642,2022/08/29,36180478,45dpi_Spatial
GSE200642,2022/08/29,36180478,Naïve_Rep1_scRNA
GSE200642,2022/08/29,36180478,Naïve_Spatial
GSE200642,2022/08/29,36180478,25dpi_Rep2_scRNA
GSE200642,2022/08/29,36180478,Naïve_Rep2_scRNA
