Accession,Year,Tissue / Modality,Contrast (as deposited),Libraries / cond.,Repl. at lib. level?,Orthogonal val. reported?,Venue,_geo_n_samples,_geo_pmid,_geo_series_title
GSE137665,2022,"Hypothalamus, brainstem, cortex / scRNA",NS; 12-h SD; 24-h RS,1,No,Yes (proteomics),Commun Biol,9,35986171,Single-cell transcriptomics and analysis for new molecular regulators of sleep
GSE214337,2022,Cerebral cortex / scRNA,SD vs ad-lib sleep (incl. AAV-SIK3 genotype arms),1,No,"Yes (EEG, behaviour)",Nature,4,36477539,Gene expression profile at single cell level of the cerebral cortex at different sleep need
GSE218624,2026,Preoptic hypothalamus / scRNA,SD 6 h; RS 2 h (no normal-sleep control arm),1,No,Yes (fibre photometry),Nat Neurosci,2,42321470,Single cell RNA-sequencing of the preoptic area of hypothalamus from sleep deprivation and rebound sleep mice
GSE280145,2024 (deposit),Lin-Kit+ haematopoietic progenitors (bone marrow) / scRNA,SD vs control,1,No,No,Unpublished (no linked PMID),2,(none),LK immunophenotype cells after sleep deprivation.
GSE211088,2023,Frontal cortex / snRNA-seq + bulk,5-h SD,3 (snRNA subset),Yes,Yes (bulk RNA-seq),iScience,16,39280614,RNA-Seq and snRNA-seq analysis of Sleep deprivation in Wildtype Mice
GSE243489,2024,Preoptic hypothalamus / snRNA,NS; recovery sleep (per record),4-5 per sex,Yes,"Yes (ISH, behaviour)",Cell Rep,19,38703367,Single-nucleus RNA-seq identifies one galanin neuronal subtype in mouse preoptic hypothalamus activated during recovery sleep after sleep deprivation
GSE256140,2025,Frontal cortex / snRNA,SD vs control sleep (recovery arm not deposited),4,Yes,Yes (behaviour),eLife,8,39950545,Sleep need driven oscillation of glutamatergic synaptic phenotype
GSE245537,2025 (dep. 2023),Thalamus (nucleus reuniens) / snRNA,SD vs control (per record; study frames as recovery-sleep homeostasis),3,Yes,Yes (optogenetics),Science,6,40536979,Persistence of homeostatic sleep drive is encoded by plasticity of a thalamic reuniens circuit
GSE289089,2025 (deposit),Small intestinal crypt / scRNA,Day 0 vs day 2 of deprivation,2,Yes,No,Unpublished (no linked PMID),4,(none),Small intestinal crypt cell subsets and gene expression in sleep-deprived mice
